collectionDate,teaWeightCollected,waterWeightCollected,actualTeaWeight,fieldID,remark,employeeID
2024-04-05,100,50,90,171683694,Harvested early in the morning.,10002
2024-04-06,110,60,100,171683694,Harvested in the afternoon.,178093576
2024-04-07,105,55,95,171683694,Harvested at noon.,178093576
2024-04-08,95,45,85,171683694,Harvested in the evening.,178093576
2024-04-09,120,65,110,171683694,Harvested early in the morning.,178093076
2024-04-10,115,60,105,171683694,Harvested in the afternoon.,178093076
2024-04-11,125,70,115,171683694,Harvested at noon.,178093076
2024-04-12,105,50,95,171683694,Harvested in the evening.,178093076
2024-04-13,130,70,120,171683694,Harvested early in the morning.,178093076
2024-04-14,135,75,125,171683694,Harvested in the afternoon.,178093076
2024-04-15,140,80,130,171683694,Harvested at noon.,178093076
2024-04-16,120,55,110,171683694,Harvested in the evening.,178093076
2024-04-17,145,85,135,171683694,Harvested early in the morning.,178093076
2024-04-18,150,90,140,171683694,Harvested in the afternoon.,178093076
2024-04-19,155,95,145,171683694,Harvested at noon.,178093076
2024-04-20,125,60,115,171683694,Harvested in the evening.,178093076
2024-04-21,160,100,150,171683694,Harvested early in the morning.,178093076
2024-04-22,165,105,155,171683694,Harvested in the afternoon.,178093076
2024-04-23,170,110,160,171683694,Harvested at noon.,178093076
2024-04-24,130,65,120,171683694,Harvested in the evening.,178093076
